no,text
25,"['received', 'VBN'], ['sample', 'NN'], ['influenster', 'NN'], ['first', 'JJ'], ['let', 'VB'], ['say', 'VB'], ['love', 'VB'], ['smell', 'NN'], ['fresh', 'JJ'], ['fruity', 'NN'], ['good', 'JJ'], ['however', 'RB'], ['rinsing', 'VBG'], ['out', 'RP'], ['took', 'VBD'], ['slip', 'NN'], ['hair', 'NN'], ['hair', 'NN'], ['felt', 'VBD'], ['pure', 'JJ'], ['straw', 'JJ'], ['sad', 'NN'], ['loved', 'VBD'], ['smell', 'NN']"
26,"['use', 'RB'], ['little', 'JJ'], ['fragrance', 'NN'], ['container', 'NN'], ['pure', 'NN'], ['torture', 'NN'], ['use', 'NN'], ['barely', 'RB'], ['open', 'JJ'], ['close', 'VB'], ['them', 'PRP'], ['put', 'VB'], ['another', 'DT'], ['bottle', 'NN']"
27,"['received', 'VBN'], ['product', 'NN'], ['free', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['own', 'JJ'], ['fall', 'NN'], ['love', 'VBP'], ['shampoo', 'NN'], ['think', 'VBP'], ['dried', 'VBN'], ['hair', 'NN'], ['rinsed', 'VBN'], ['out', 'RP'], ['instantly', 'RB'], ['felt', 'NNS'], ['like', 'IN'], ['needed', 'VBN'], ['lot', 'NN'], ['conditioner', 'NNS'], ['make', 'VBP'], ['dryness', 'NN'], ['think', 'VBP'], ['better', 'JJR'], ['shampoo', 'NN'], ['drugstore', 'NN'], ['hate', 'NN'], ['it', 'PRP']"
28,"['shampoo', 'NN'], ['smell', 'NN'], ['great', 'JJ'], ['good', 'JJ'], ['job', 'NN'], ['cleaning', 'VBG'], ['hair', 'NN'], ['ive', 'JJ'], ['using', 'VBG'], ['product', 'NN'], ['week', 'NN'], ['however', 'RB'], ['notice', 'JJ'], ['difference', 'NN'], ['volume', 'NN'], ['hair', 'NN'], ['thick', 'JJ'], ['coarse', 'NN'], ['hair', 'NN'], ['hard', 'JJ'], ['hold', 'NN'], ['volume', 'NN'], ['even', 'RB'], ['teasing', 'VBG'], ['le', 'JJ'], ['coarse', 'JJ'], ['hair', 'NN'], ['might', 'MD'], ['work', 'VB'], ['better', 'RB'], ['you', 'PRP'], ['used', 'VBD'], ['volumizing', 'VBG'], ['conditioner', 'NN'], ['spray', 'NN'], ['see', 'NN'], ['difference', 'NN'], ['received', 'VBD'], ['product', 'NN'], ['free', 'JJ'], ['opinion', 'NN']"
29,"['feel', 'NN'], ['like', 'IN'], ['volume', 'NN'], ['using', 'VBG'], ['this', 'DT'], ['whole', 'JJ'], ['point', 'NN'], ['right', 'NN'], ['also', 'RB'], ['could', 'MD'], ['stand', 'VB'], ['smell', 'JJ'], ['preference', 'NN'], ['course', 'NN'], ['self', 'PRP'], ['conscious', 'JJ'], ['it', 'PRP'], ['get', 'VB'], ['wrong', 'JJ'], ['bad', 'JJ'], ['shampoo', 'NN'], ['see', 'VBP'], ['difference', 'NN'], ['volume', 'NN'], ['make', 'VBP'], ['hair', 'NN'], ['worse', 'JJR'], ['recieve', 'NN'], ['shampoo', 'NN'], ['free', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['own', 'IN']"
30,"['disappointed', 'JJ'], ['shampoo', 'NN'], ['didnt', 'NNS'], ['give', 'VBP'], ['volume', 'NN'], ['fact', 'NN'], ['made', 'VBD'], ['hair', 'JJ'], ['oily', 'RB'], ['flat', 'JJ'], ['lile', 'NN'], ['aussir', 'JJ'], ['product', 'NN'], ['one', 'CD'], ['hold', 'NN'], ['up', 'RP'], ['tested', 'VBN'], ['aussie', 'RB'], ['free', 'JJ'], ['opinion', 'NN'], ['own', 'IN']"
31,"['use', 'RB'], ['little', 'JJ'], ['fragrance', 'NN'], ['container', 'NN'], ['pure', 'NN'], ['torture', 'NN'], ['use', 'NN'], ['barely', 'RB'], ['open', 'JJ'], ['close', 'VB'], ['them', 'PRP'], ['put', 'VB'], ['another', 'DT'], ['bottle', 'NN']"
32,"['make', 'VB'], ['hair', 'JJ'], ['clean', 'JJ'], ['soft', 'JJ'], ['smooth', 'NNS'], ['without', 'IN'], ['weighing', 'VBG'], ['down', 'RP'], ['touchable', 'JJ'], ['volume', 'NN'], ['silky', 'NN'], ['finish', 'NN'], ['also', 'RB'], ['smell', 'RB'], ['good', 'JJ'], ['sent', 'NN'], ['product', 'NN'], ['reviewing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['own', 'IN']"
33,"['thought', 'VBN'], ['shampoo', 'RB'], ['great', 'JJ'], ['felt', 'VBD'], ['good', 'JJ'], ['hair', 'NN'], ['dry', 'JJ'], ['hair', 'NN'], ['make', 'VBP'], ['overly', 'RB'], ['oily', 'RB'], ['however', 'RB'], ['smell', 'RB'], ['little', 'JJ'], ['strong', 'JJ'], ['smell', 'RB'], ['good', 'JJ'], ['alittle', 'NN'], ['strong', 'JJ'], ['thats', 'NNS'], ['dislike', 'VBP'], ['however', 'RB'], ['smell', 'VBP'], ['really', 'RB'], ['bother', 'RB'], ['love', 'VB'], ['shampoo', 'NN'], ['given', 'VBN'], ['product', 'NN'], ['try', 'NN'], ['review', 'NN'], ['influencer', 'VBP'], ['however', 'RB'], ['opinion', 'NN'], ['product', 'NN'], ['own', 'JJ']"
34,"['received', 'VBN'], ['item', 'JJ'], ['free', 'JJ'], ['opinion', 'NN'], ['would', 'MD'], ['love', 'VB'], ['use', 'NN'], ['product', 'NN'], ['everyday', 'JJ'], ['wonderful', 'JJ'], ['shampoo', 'NN'], ['lather', 'RBR'], ['really', 'RB'], ['well', 'RB'], ['light', 'JJ'], ['citrusy', 'JJ'], ['scent', 'NN'], ['conditioner', 'NN'], ['greasy', 'JJ'], ['notice', 'JJ'], ['week', 'NN'], ['daily', 'RB'], ['use', 'RB'], ['hair', 'NN'], ['seem', 'VBP'], ['much', 'RB'], ['thicker', 'JJR'], ['usual', 'JJ'], ['would', 'MD'], ['definitely', 'RB'], ['buy', 'VB'], ['again', 'RB']"
