no,text
1620,"['conditioner', 'NNS'], ['make', 'VBP'], ['hair', 'NN'], ['feel', 'VB'], ['great', 'JJ'], ['get', 'VB'], ['rid', 'JJ'], ['root', 'NN'], ['oil', 'NN'], ['keep', 'VB'], ['end', 'NN'], ['refreshed', 'VBN'], ['without', 'IN'], ['drying', 'VBG'], ['out', 'RP'], ['last', 'JJ'], ['day', 'NN'], ['received', 'VBD'], ['product', 'NN'], ['freecomplimentary', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1621,"['received', 'VBN'], ['product', 'NN'], ['free', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['influenster', 'JJ'], ['program', 'NN'], ['glad', 'NN'], ['got', 'VBD'], ['it', 'PRP'], ['love', 'VB'], ['idea', 'NN'], ['behind', 'IN'], ['whole', 'JJ'], ['line', 'NN'], ['want', 'VBP'], ['grease', 'NN'], ['free', 'JJ'], ['hair', 'NN'], ['low', 'JJ'], ['expectation', 'NN'], ['first', 'RB'], ['got', 'VBD'], ['whole', 'JJ'], ['line', 'NN'], ['surpassed', 'VBN'], ['expectation', 'NN'], ['conditioner', 'NN'], ['smell', 'VBP'], ['great', 'JJ'], ['leaf', 'JJ'], ['hair', 'NN'], ['soft', 'JJ'], ['dry', 'NN'], ['out', 'IN'], ['also', 'RB'], ['moisturizes', 'JJ'], ['end', 'NN'], ['used', 'VBN'], ['entire', 'JJ'], ['bottle', 'NN'], ['already', 'RB'], ['definitely', 'RB'], ['repurchasing', 'VBG'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1622,"['got', 'VBD'], ['last', 'JJ'], ['vox', 'NN'], ['box', 'NN'], ['needed', 'VBD'], ['make', 'VBP'], ['hair', 'NN'], ['lightweight', 'JJ'], ['oily', 'RB'], ['didnt', 'VBN'], ['last', 'JJ'], ['hour', 'NN'], ['due', 'JJ'], ['active', 'JJ'], ['lifestyle', 'NN'], ['amazing', 'NN'], ['still', 'RB'], ['review', 'VB'], ['collected', 'JJ'], ['part', 'NN'], ['promotion', 'NN']"
1623,"['whole', 'JJ'], ['like', 'IN'], ['loreals', 'NNS'], ['extraordinary', 'JJ'], ['clay', 'NN'], ['3step', 'CD'], ['system', 'NN'], ['shampoo', 'JJ'], ['conditioner', 'NN'], ['keep', 'VB'], ['hair', 'NN'], ['feeling', 'VBG'], ['clean', 'JJ'], ['soft', 'JJ'], ['keeping', 'VBG'], ['oily', 'RB'], ['scalp', 'VBN'], ['bay', 'NN'], ['conditioner', 'NN'], ['leaf', 'JJ'], ['hair', 'NN'], ['feeling', 'VBG'], ['soft', 'JJ'], ['without', 'IN'], ['leaving', 'VBG'], ['greasy', 'JJ'], ['feeling', 'NN'], ['found', 'VBD'], ['leave', 'VBP'], ['long', 'JJ'], ['becomes', 'NNS'], ['bit', 'RB'], ['harder', 'VBP'], ['wash', 'NN'], ['entirely', 'RB'], ['however', 'RB'], ['leave', 'VB'], ['recommended', 'JJ'], ['time', 'NN'], ['hair', 'NN'], ['feel', 'VB'], ['super', 'JJ'], ['soft', 'NN'], ['noticed', 'VBD'], ['big', 'JJ'], ['difference', 'NN'], ['way', 'NN'], ['hair', 'NN'], ['feel', 'NN'], ['since', 'IN'], ['using', 'VBG'], ['line', 'NN'], ['particularly', 'RB'], ['term', 'NN'], ['much', 'JJ'], ['le', 'JJR'], ['oily', 'RB'], ['root', 'NN'], ['feel', 'NN'], ['would', 'MD'], ['recommend', 'VB'], ['received', 'JJ'], ['product', 'NN'], ['complimentary', 'JJ'], ['form', 'NN'], ['influenster', 'NN'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['own', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1624,"['love', 'VB'], ['soft', 'JJ'], ['conditioner', 'NNS'], ['make', 'VBP'], ['hair', 'NN'], ['feel', 'VB'], ['although', 'IN'], ['smell', 'NN'], ['horrible', 'JJ'], ['also', 'RB'], ['like', 'IN'], ['even', 'RB'], ['though', 'IN'], ['cap', 'NN'], ['opposite', 'JJ'], ['side', 'NN'], ['shampoo', 'VBD'], ['bottle', 'JJ'], ['look', 'NN'], ['exactly', 'RB'], ['otherwise', 'RB'], ['tedious', 'JJ'], ['look', 'NN'], ['showering', 'VBG'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1625,"['got', 'VBD'], ['product', 'NN'], ['free', 'JJ'], ['test', 'NN'], ['influenster', 'NN'], ['super', 'NN'], ['happy', 'JJ'], ['it', 'PRP'], ['great', 'JJ'], ['hair', 'JJ'], ['oily', 'RB'], ['root', 'VBP'], ['dry', 'JJ'], ['end', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1626,"['really', 'RB'], ['like', 'JJ'], ['conditioner', 'NN'], ['although', 'IN'], ['quite', 'RB'], ['much', 'JJ'], ['shampoo', 'NN'], ['ive', 'JJ'], ['moved', 'VBD'], ['using', 'VBG'], ['moisturizing', 'VBG'], ['conditioner', 'NN'], ['hair', 'NN'], ['seemed', 'VBD'], ['getting', 'VBG'], ['two', 'CD'], ['dry', 'JJ'], ['combining', 'VBG'], ['two', 'CD'], ['often', 'RB'], ['hand', 'NN'], ['conditioner', 'NNS'], ['shampoo', 'VBP'], ['really', 'RB'], ['helped', 'VBN'], ['boyfriend', 'VB'], ['consider', 'JJR'], ['hair', 'NN'], ['oily', 'RB'], ['scalp', 'JJ'], ['produce', 'VBP'], ['oil', 'NN'], ['productively', 'RB'], ['anyone', 'NN'], ['know', 'VBP'], ['really', 'RB'], ['helped', 'VBN'], ['out', 'RP'], ['moderately', 'RB'], ['oily', 'JJ'], ['hair', 'NN'], ['would', 'MD'], ['advise', 'VB'], ['using', 'VBG'], ['week', 'NN'], ['especially', 'RB'], ['night', 'NN'], ['want', 'VBP'], ['lot', 'NN'], ['body', 'NN'], ['fullness', 'JJ'], ['conditioner', 'NN'], ['really', 'RB'], ['help', 'VB'], ['compared', 'VBN'], ['others', 'NNS'], ['extremely', 'RB'], ['oily', 'RB'], ['hair', 'NN'], ['use', 'NN'], ['time', 'NN'], ['received', 'VBD'], ['item', 'JJ'], ['free', 'JJ'], ['via', 'IN'], ['influenster', 'NN'], ['voxbox', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1627,"['great', 'JJ'], ['conditioner', 'NN'], ['however', 'RB'], ['best', 'JJS'], ['come', 'VBP'], ['making', 'VBG'], ['hair', 'NN'], ['soft', 'JJ'], ['better', 'JJR'], ['however', 'RB'], ['untangle', 'JJ'], ['whole', 'JJ'], ['bunch', 'NN'], ['fine', 'JJ'], ['hair', 'NN'], ['have', 'VBP'], ['feat', 'VBN'], ['itself', 'PRP'], ['wish', 'JJ'], ['able', 'JJ'], ['make', 'VB'], ['hair', 'JJ'], ['little', 'JJ'], ['softer', 'JJR'], ['overall', 'JJ'], ['still', 'RB'], ['great', 'JJ'], ['product', 'NN'], ['received', 'VBD'], ['product', 'NN'], ['free', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['own', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1628,"['received', 'VBN'], ['product', 'NN'], ['influenster', 'NN'], ['expressed', 'VBD'], ['issue', 'NN'], ['hair', 'NN'], ['wish', 'JJ'], ['im', 'NN'], ['sure', 'JJ'], ['im', 'VBZ'], ['one', 'CD'], ['issue', 'NN'], ['use', 'NN'], ['2x', 'CD'], ['much', 'JJ'], ['conditioner', 'NN'], ['shampoo', 'NN'], ['tested', 'VBD'], ['product', 'NN'], ['compliment', 'NN'], ['influenster', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1629,"['really', 'RB'], ['enjoy', 'VB'], ['conditioner', 'NN'], ['scent', 'JJ'], ['refreshing', 'VBG'], ['really', 'RB'], ['keep', 'VB'], ['hair', 'NN'], ['moisturized', 'VBN'], ['without', 'IN'], ['weighing', 'VBG'], ['getting', 'VBG'], ['hair', 'NN'], ['oily', 'RB'], ['pair', 'RB'], ['well', 'RB'], ['shampoo', 'JJ'], ['clay', 'NN'], ['mask', 'NN'], ['thanks', 'NNS'], ['influenster', 'VBP'], ['letting', 'VBG'], ['try', 'NN'], ['product', 'NN'], ['opinion', 'NN'], ['own', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1630,"['received', 'VBN'], ['product', 'NN'], ['freecomplimentary', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['such', 'JJ'], ['since', 'IN'], ['loral', 'JJ'], ['company', 'NN'], ['test', 'NN'], ['animal', 'NN'], ['would', 'MD'], ['normally', 'RB'], ['buy', 'VB'], ['it', 'PRP'], ['thankfully', 'RB'], ['parabenfree', 'VBP'], ['indeed', 'RB'], ['use', 'JJ'], ['product', 'NN'], ['enjoying', 'VBG'], ['way', 'NN'], ['smell', 'NN'], ['hydrate', 'NN'], ['without', 'IN'], ['weighing', 'VBG'], ['hair', 'NN'], ['down', 'RP'], ['review', 'NN'], ['collected', 'JJ'], ['part', 'NN'], ['promotion', 'NN']"
1631,"['used', 'VBN'], ['conditioner', 'NN'], ['addition', 'NN'], ['shampoo', 'NN'], ['preshampoo', 'NN'], ['clay', 'NN'], ['mask', 'NN'], ['letting', 'VBG'], ['hair', 'NN'], ['airdry', 'NNS'], ['damaged', 'VBD'], ['end', 'JJ'], ['hair', 'NN'], ['felt', 'VBD'], ['smoother', 'RB'], ['softer', 'JJR'], ['overall', 'JJ'], ['silkier', 'NN'], ['before', 'IN'], ['hair', 'NN'], ['thick', 'JJ'], ['heavy', 'JJ'], ['tends', 'NNS'], ['lay', 'VBD'], ['flat', 'JJ'], ['scalp', 'NN'], ['nice', 'JJ'], ['find', 'NN'], ['conditioner', 'NN'], ['weigh', 'JJ'], ['instead', 'RB'], ['help', 'VBP'], ['boot', 'NN'], ['volume', 'NN'], ['love', 'VB'], ['product', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1632,"['used', 'VBN'], ['product', 'NN'], ['following', 'VBG'], ['used', 'JJ'], ['mask', 'NN'], ['shampoo', 'JJ'], ['product', 'NN'], ['smell', 'NN'], ['great', 'JJ'], ['hair', 'NN'], ['silky', 'VBD'], ['smooth', 'JJ'], ['blow', 'NN'], ['drying', 'VBG'], ['sign', 'JJ'], ['oily', 'RB'], ['scalp', 'JJ'], ['kind', 'NN'], ['product', 'NN'], ['build', 'VB'], ['up', 'RP'], ['product', 'NN'], ['great', 'JJ'], ['use', 'NN'], ['unison', 'JJ'], ['mask', 'NN'], ['shampoo', 'NN'], ['also', 'RB'], ['efficient', 'JJ'], ['used', 'VBD'], ['own', 'JJ'], ['would', 'MD'], ['recommend', 'VB'], ['product', 'NN'], ['anyone', 'NN'], ['suffers', 'NNS'], ['oil', 'NN'], ['product', 'NN'], ['build', 'VB'], ['up', 'RP'], ['recieved', 'JJ'], ['free', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1633,"['received', 'VBN'], ['complementary', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['product', 'NN'], ['own', 'JJ'], ['overall', 'JJ'], ['really', 'RB'], ['nice', 'JJ'], ['conditioner', 'NN'], ['smell', 'RB'], ['great', 'JJ'], ['leaf', 'JJ'], ['hair', 'NN'], ['feeling', 'VBG'], ['super', 'JJ'], ['soft', 'JJ'], ['love', 'NN'], ['would', 'MD'], ['repurchase', 'VB'], ['future', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1634,"['conditioner', 'NN'], ['shampoo', 'NN'], ['work', 'NN'], ['well', 'RB'], ['together', 'RB'], ['left', 'VBD'], ['hair', 'NN'], ['feeling', 'VBG'], ['soft', 'JJ'], ['smelling', 'VBG'], ['really', 'RB'], ['good', 'JJ'], ['received', 'VBD'], ['product', 'NN'], ['free', 'JJ'], ['opinion', 'NN'], ['own', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1635,"['conditioner', 'NN'], ['worked', 'VBD'], ['well', 'RB'], ['leave', 'JJ'], ['hair', 'NN'], ['feeling', 'VBG'], ['greasy', 'JJ'], ['kept', 'JJ'], ['clean', 'JJ'], ['hour', 'NN'], ['more', 'RBR'], ['hour', 'NN'], ['product', 'NN'], ['boasted', 'VBN'], ['received', 'JJ'], ['product', 'NN'], ['free', 'JJ'], ['influenster', 'NN'], ['testing', 'VBG'], ['purpose', 'JJ'], ['combination', 'NN'], ['clay', 'NN'], ['mask', 'NN'], ['conditioner', 'NN'], ['opinion', 'NN'], ['own', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1636,"['love', 'VB'], ['color', 'NN'], ['conditioner', 'NN'], ['help', 'NN'], ['hair', 'NN'], ['stay', 'VB'], ['soft', 'JJ'], ['detangles', 'NNS'], ['well', 'RB'], ['review', 'VB'], ['collected', 'JJ'], ['part', 'NN'], ['promotion', 'NN']"
1637,"['received', 'VBN'], ['trial', 'NN'], ['product', 'NN'], ['free', 'JJ'], ['influenster', 'NN'], ['loreal', 'NN'], ['picky', 'JJ'], ['hair', 'NN'], ['routine', 'JJ'], ['fine', 'NN'], ['oily', 'RB'], ['yet', 'RB'], ['brittle', 'JJ'], ['color', 'NN'], ['treated', 'VBD'], ['hair', 'NN'], ['using', 'VBG'], ['product', 'NN'], ['felt', 'VBD'], ['smelled', 'JJ'], ['great', 'JJ'], ['whether', 'IN'], ['ive', 'JJ'], ['used', 'VBD'], ['alone', 'RB'], ['preshampoo', 'JJ'], ['mask', 'NN'], ['hair', 'NN'], ['looked', 'VBD'], ['freshly', 'RB'], ['washed', 'VBN'], ['day', 'NN'], ['dry', 'VB'], ['out', 'RP'], ['appear', 'JJ'], ['affect', 'JJ'], ['hair', 'NN'], ['color', 'NN'], ['purchase', 'NN'], ['product', 'NN'], ['conditioner', 'NN'], ['help', 'NN'], ['get', 'VB'], ['tangle', 'JJ'], ['well', 'RB'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1638,"['love', 'NN'], ['conditioner', 'NN'], ['moisturizing', 'VBG'], ['feel', 'NN'], ['silky', 'JJ'], ['smooth', 'CC'], ['handsin', 'JJ'], ['hair', 'NN'], ['miracle', 'NN'], ['worker', 'NN'], ['nice', 'JJ'], ['especially', 'RB'], ['inexpensive', 'JJ'], ['brand', 'NN'], ['received', 'VBD'], ['product', 'NN'], ['free', 'JJ'], ['meeting', 'NN'], ['purpose', 'JJ'], ['opinion', 'NN'], ['product', 'NN'], ['own', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1639,"['received', 'VBN'], ['product', 'NN'], ['test', 'NN'], ['thought', 'VBD'], ['effective', 'JJ'], ['keeping', 'VBG'], ['end', 'NN'], ['hydrated', 'VBD'], ['without', 'IN'], ['weighing', 'VBG'], ['rest', 'NN'], ['hair', 'NN'], ['smelled', 'VBD'], ['pretty', 'RB'], ['strong', 'JJ'], ['pleasant', 'JJ'], ['overall', 'JJ'], ['thought', 'JJ'], ['product', 'NN'], ['worth', 'JJ'], ['price', 'NN'], ['job', 'NN'], ['well', 'RB'], ['ive', 'JJ'], ['seen', 'VBN'], ['product', 'NN'], ['expensive', 'JJ'], ['work', 'NN'], ['well', 'RB'], ['review', 'RB'], ['collected', 'VBN'], ['part', 'NN'], ['promotion', 'NN']"
1640,"['say', 'VBP'], ['influenster', 'NN'], ['tried', 'JJ'], ['product', 'NN'], ['hair', 'NN'], ['department', 'NN'], ['loral', 'NN'], ['after', 'IN'], ['im', 'NN'], ['really', 'RB'], ['considering', 'VBG'], ['line', 'NN'], ['really', 'RB'], ['thick', 'JJ'], ['hair', 'NN'], ['finding', 'VBG'], ['coat', 'NN'], ['friendly', 'JJ'], ['product', 'NN'], ['work', 'NN'], ['always', 'RB'], ['goalthis', 'JJ'], ['product', 'NN'], ['gave', 'VBD'], ['hair', 'NN'], ['right', 'JJ'], ['condition', 'NN'], ['needed', 'VBD'], ['week', 'NN'], ['long', 'RB'], ['styling', 'VBG'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1641,"['received', 'VBN'], ['loral', 'JJ'], ['extraordinary', 'JJ'], ['clay', 'NN'], ['hair', 'NN'], ['care', 'NN'], ['collection', 'NN'], ['influenster', 'RB'], ['free', 'JJ'], ['absolutely', 'RB'], ['loved', 'VBD'], ['it', 'PRP'], ['conditioner', 'VBZ'], ['great', 'JJ'], ['scent', 'JJ'], ['hair', 'NN'], ['felt', 'VBD'], ['clear', 'JJ'], ['clean', 'JJ'], ['ive', 'JJ'], ['issue', 'NN'], ['end', 'NN'], ['getting', 'VBG'], ['dry', 'JJ'], ['scalp', 'NN'], ['getting', 'VBG'], ['oily', 'RB'], ['shampooing', 'VBG'], ['every', 'DT'], ['day', 'NN'], ['using', 'VBG'], ['extraordinary', 'JJ'], ['clay', 'NN'], ['product', 'NN'], ['hair', 'NN'], ['soft', 'JJ'], ['smooth', 'NNS'], ['need', 'VBP'], ['use', 'VBP'], ['leavein', 'JJ'], ['product', 'NN'], ['end', 'NN'], ['dry', 'JJ'], ['even', 'RB'], ['day', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1642,"['conditioner', 'NN'], ['heavy', 'JJ'], ['light', 'VBD'], ['good', 'JJ'], ['between', 'IN'], ['also', 'RB'], ['make', 'VBP'], ['crazy', 'JJ'], ['volume', 'NN'], ['oily', 'RB'], ['day', 'NN'], ['use', 'VB'], ['scalp', 'NN'], ['worry', 'NN'], ['annoying', 'VBG'], ['received', 'VBD'], ['product', 'NN'], ['free', 'JJ'], ['exchange', 'NN'], ['review', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1643,"['received', 'VBN'], ['product', 'NN'], ['free', 'JJ'], ['testing', 'VBG'], ['purpose', 'NN'], ['excited', 'VBD'], ['try', 'IN'], ['something', 'NN'], ['oily', 'RB'], ['root', 'VBZ'], ['smell', 'NN'], ['pretty', 'RB'], ['good', 'JJ'], ['used', 'VBN'], ['clay', 'NN'], ['shampoo', 'NN'], ['work', 'NN'], ['pretty', 'RB'], ['well', 'RB'], ['however', 'RB'], ['run', 'VBP'], ['clay', 'NNS'], ['run', 'VB'], ['shampoo', 'RB'], ['conditioner', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1644,"['conditioner', 'NN'], ['really', 'RB'], ['kept', 'VBD'], ['hair', 'NN'], ['looking', 'VBG'], ['healthy', 'JJ'], ['even', 'RB'], ['tho', 'VBP'], ['made', 'VBN'], ['dry', 'JJ'], ['oily', 'RB'], ['root', 'VBP'], ['dry', 'JJ'], ['scalp', 'NN'], ['influenster', 'NN'], ['sent', 'VBD'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['mine', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1645,"['loved', 'VBN'], ['conditioner', 'NN'], ['made', 'VBD'], ['hair', 'NN'], ['silky', 'JJ'], ['soft', 'JJ'], ['smell', 'NN'], ['nice', 'RB'], ['too', 'RB'], ['review', 'JJ'], ['collected', 'JJ'], ['part', 'NN'], ['promotion', 'NN']"
1646,"['conditioner', 'NNS'], ['make', 'VBP'], ['hair', 'NN'], ['feel', 'VB'], ['soft', 'JJ'], ['fabulous', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1647,"['received', 'VBN'], ['product', 'NN'], ['free', 'JJ'], ['testing', 'VBG'], ['evaluation', 'NN'], ['purpose', 'RB'], ['influenster', 'JJ'], ['opinion', 'NN'], ['own', 'IN'], ['used', 'JJ'], ['conditioner', 'NN'], ['shampoo', 'VBD'], ['mask', 'NN'], ['system', 'NN'], ['loved', 'VBD'], ['scent', 'JJ'], ['hair', 'NN'], ['silky', 'NN'], ['hydrated', 'VBD'], ['would', 'MD'], ['definitely', 'RB'], ['use', 'VB'], ['product', 'NN'], ['own', 'JJ'], ['fine', 'JJ'], ['long', 'RB'], ['hair', 'NN'], ['important', 'JJ'], ['keep', 'NN'], ['hydrated', 'VBD'], ['healthy', 'JJ'], ['flowing', 'VBG'], ['lock', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1648,"['received', 'VBN'], ['testing', 'VBG'], ['purpose', 'RB'], ['loved', 'VBN'], ['clay', 'NN'], ['mask', 'NN'], ['shampoo', 'JJ'], ['let', 'NN'], ['conditioner', 'NN'], ['either', 'CC'], ['smooth', 'JJ'], ['left', 'VBD'], ['dry', 'JJ'], ['end', 'NN'], ['rejuvenated', 'VBD'], ['smooth', 'JJ'], ['looking', 'VBG'], ['way', 'NN'], ['better', 'RBR'], ['usually', 'RB'], ['do', 'VBP'], ['great', 'JJ'], ['hair', 'NN'], ['regimen', 'NNS'], ['people', 'NNS'], ['like', 'IN'], ['oily', 'RB'], ['root', 'NN'], ['dry', 'JJ'], ['end', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1649,"['received', 'VBN'], ['product', 'NN'], ['thanks', 'NNS'], ['influenster', 'VBP'], ['testing', 'VBG'], ['purpose', 'NN'], ['honest', 'JJS'], ['review', 'NN'], ['skeptical', 'JJ'], ['conditioner', 'NN'], ['main', 'JJ'], ['function', 'NN'], ['repair', 'NN'], ['split', 'JJ'], ['end', 'NN'], ['dont', 'NN'], ['get', 'VBP'], ['wrong', 'JJ'], ['needed', 'VBN'], ['that', 'IN'], ['since', 'IN'], ['hair', 'NN'], ['oily', 'RB'], ['scare', 'NN'], ['would', 'MD'], ['made', 'VB'], ['worst', 'JJS'], ['moisturizing', 'VBG'], ['didnt', 'JJ'], ['im', 'NN'], ['happy', 'JJ'], ['result', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1650,"['really', 'RB'], ['liked', 'JJ'], ['conditioner', 'NN'], ['made', 'VBD'], ['hair', 'JJ'], ['look', 'VB'], ['feel', 'NN'], ['smell', 'RB'], ['way', 'NN'], ['strong', 'JJ'], ['taste', 'NN'], ['like', 'IN'], ['straight', 'JJ'], ['perfume', 'NN'], ['really', 'RB'], ['enjoyed', 'VBN'], ['using', 'VBG'], ['line', 'NN'], ['product', 'NN'], ['sent', 'VBD'], ['free', 'JJ'], ['opinion', 'NN']"
1651,"['received', 'VBN'], ['free', 'JJ'], ['trial', 'NN'], ['influenster', 'NN'], ['conditioner', 'NN'], ['really', 'RB'], ['keep', 'VB'], ['hair', 'NN'], ['soft', 'JJ'], ['top', 'NN'], ['smell', 'NN'], ['divine', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1652,"['received', 'VBN'], ['product', 'NN'], ['free', 'JJ'], ['sample', 'NN'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['own', 'JJ'], ['conditioner', 'NN'], ['smell', 'VBP'], ['really', 'RB'], ['nice', 'JJ'], ['great', 'JJ'], ['value', 'NN'], ['price', 'NN'], ['hair', 'NN'], ['weighed', 'VBD'], ['using', 'VBG'], ['extraordinary', 'JJ'], ['clay', 'NN'], ['shampoo', 'NN'], ['kept', 'VBD'], ['hair', 'NN'], ['shiny', 'JJ'], ['strong', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1653,"['scent', 'JJ'], ['reminds', 'VBZ'], ['shampoo', 'JJ'], ['dad', 'NNS'], ['used', 'VBD'], ['90', 'CD'], ['huge', 'JJ'], ['fan', 'NN'], ['it', 'PRP'], ['offensive', 'JJ'], ['product', 'NN'], ['one', 'CD'], ['would', 'MD'], ['use', 'VB'], ['itself', 'PRP'], ['others', 'NNS'], ['left', 'VBD'], ['hair', 'JJ'], ['bit', 'NN'], ['stiff', 'JJ'], ['different', 'JJ'], ['shampoo', 'NN'], ['still', 'RB'], ['left', 'VBD'], ['may', 'MD'], ['hair', 'VB'], ['feeling', 'VBG'], ['soft', 'JJ'], ['definitely', 'RB'], ['buy', 'VBP'], ['full', 'JJ'], ['system', 'NN'], ['want', 'VBP'], ['use', 'NN'], ['product', 'NN'], ['together', 'RB'], ['received', 'VBD'], ['product', 'NN'], ['freecomplimentary', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['own', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1654,"['nice', 'JJ'], ['leaf', 'NN'], ['ur', 'JJ'], ['hair', 'NN'], ['flat', 'JJ'], ['nice', 'JJ'], ['smooth', 'CC'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1655,"['use', 'NN'], ['conditioner', 'NN'], ['along', 'IN'], ['mask', 'NN'], ['shampoo', 'NN'], ['help', 'VBP'], ['oily', 'RB'], ['root', 'VB'], ['love', 'VB'], ['using', 'VBG'], ['clay', 'JJ'], ['product', 'NN'], ['excited', 'VBD'], ['try', 'NN'], ['this', 'DT'], ['conditioner', 'NN'], ['smell', 'RB'], ['good', 'JJ'], ['fresh', 'JJ'], ['minty', 'NN'], ['using', 'VBG'], ['this', 'DT'], ['notice', 'JJ'], ['hair', 'NN'], ['clean', 'JJ'], ['get', 'VBP'], ['oily', 'RB'], ['3rd', 'CD'], ['day', 'NN'], ['hair', 'NN'], ['twice', 'RB'], ['week', 'NN'], ['product', 'NN'], ['help', 'NN'], ['keep', 'VB'], ['hair', 'NN'], ['feeling', 'VBG'], ['clean', 'JJ'], ['longer', 'RBR'], ['hair', 'NN'], ['also', 'RB'], ['felt', 'VBD'], ['soft', 'JJ'], ['using', 'VBG'], ['it', 'PRP'], ['received', 'VBD'], ['product', 'NN'], ['complimentary', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['opinion', 'NN'], ['own', 'JJ'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
1656,"['received', 'VBN'], ['product', 'NN'], ['complimentary', 'JJ'], ['testing', 'VBG'], ['purpose', 'JJ'], ['influenster', 'NN'], ['really', 'RB'], ['like', 'JJ'], ['product', 'NN'], ['super', 'NN'], ['lightweight', 'VBD'], ['little', 'JJ'], ['go', 'VB'], ['long', 'JJ'], ['way', 'NN'], ['smell', 'NN'], ['really', 'RB'], ['good', 'JJ'], ['hair', 'NN'], ['felt', 'VBD'], ['really', 'RB'], ['soft', 'JJ'], ['really', 'RB'], ['enjoyed', 'JJ'], ['product', 'NN'], ['review', 'NN'], ['collected', 'VBD'], ['part', 'NN'], ['promotion', 'NN']"
