  color ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  fan ,  bouncy ,  volum ,  hair ,  shampoo ,  leav ,  hair ,  definit ,,,,,,,,,,,,,,,,,,,,,,,
  mom ,  shampoo ,  scent ,  leav ,  hair ,  pair ,  condition ,  hair ,  highli ,  product ,  test ,  aussi ,  opinion ,,,,,,,,,,,,,,,,,,
  start ,  tini ,  toddler ,  wash ,  hair ,  twice ,  week ,  shampoo ,  point ,  hair ,  tri ,  aussi ,  volum ,  shampoo ,  smell ,  hair ,  bottl ,  im ,  okay ,  pour ,  iv ,  hair ,  oomph ,  mom ,  bun ,  product ,  opinion ,  brand ,  replac ,  go ,
  shampoo ,  reciev ,  aussi ,  volum ,  review ,  feedback ,  realli ,  smell ,  shampoo ,  fan ,  product ,  reason ,  result ,  volum ,  shampoo ,  work ,  hair ,  lifeless ,  hair ,  brand ,  volum ,  need ,  look ,  volum ,  hair ,  day ,,,,,
  receiv ,  yesterday ,  time ,  love ,  hair ,  fuller ,  volum ,  happi ,  hair ,  coarse ,  thank ,  product ,,,,,,,,,,,,,,,,,,,
  receiv ,  aussi ,  voluminizimg ,  shampoo ,  influenst ,  week ,  use ,  week ,  leav ,  hair ,  soft ,  volume ,  iv ,  tri ,  shampoo ,  claim ,  hair ,  volumin ,  girl ,  manag ,  ad ,  curl ,  day ,  aussi ,,,,,,,
  hair ,  product ,  influenst ,  tri ,  hair ,  manag ,  volum ,  use ,  brand ,  definit ,  aussi ,,,,,,,,,,,,,,,,,,,,
  use ,  im ,  pretti ,  product ,  work ,  volume ,  iv ,  product ,  im ,  line ,  product ,  test ,  product ,  influenst ,  definit ,,,,,,,,,,,,,,,,
  work ,  lot ,  shampoo ,  kind ,  need ,  lot ,  work ,  easi ,  smell ,  rins ,  volum ,  conditioner ,  hair ,  volum ,  recommend ,  friend ,  famili ,  opinion ,,,,,,,,,,,,,
  shampoo ,  hair ,  volum ,  volum ,  shampoo ,  iv ,,,,,,,,,,,,,,,,,,,,,,,,,
  hair ,  use ,  husband ,  shampoo ,  hair ,  condition ,  hair ,  look ,,,,,,,,,,,,,,,,,,,,,,,
  previou ,  smell ,  nice ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  favorit ,  shampoo ,  product ,  greasy ,,,,,,,,,,,,,,,,,,,,,,,,,,,
  product ,  shampoo ,  hair ,  shampoo ,  perfect ,  price ,  awesome ,  use ,  day ,  stock ,  famili ,  use ,,,,,,,,,,,,,,,,,,,
  product ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  wife ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  product ,  recommend ,  perfect ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  product ,  use ,  hair ,  awesom ,,,,,,,,,,,,,,,,,,,,,,,,,,,
  product ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  product ,  tester ,  condit ,  hair ,  product ,  difference ,  hair ,  hair ,  smell ,,,,,,,,,,,,,,,,,,,,,,
  love ,  realli ,  curli ,  hair ,  scalp ,  look ,  defin ,  time ,  friend ,,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  cant ,  hair ,  thru ,  water ,  continu ,  repurchase ,  hair ,  find ,  shampoo ,,,,,,,,,,,,,,,,,,,,,
  product ,  hair ,  feel ,  scent ,  bonu ,  ensur ,  aussi ,  opinion ,,,,,,,,,,,,,,,,,,,,,,,
  hair ,  aussi ,  use ,  day ,  love ,  smell ,  ne ,  dandruff ,  alergi ,  control ,,,,,,,,,,,,,,,,,,,,,
  enjoy ,  test ,  aussi ,  opinion ,,,,,,,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  use ,  product ,  smell ,  light ,  weight ,  difference ,  shampoo ,,,,,,,,,,,,,,,,,,,,,,,
  product ,  shampoo ,  work ,  hair ,  volum ,  receiv ,  review ,,,,,,,,,,,,,,,,,,,,,,,,
  feel ,  work ,  amsingli ,  product ,  everi ,  body ,  volume ,,,,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  hair ,  shampoo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  product ,  test ,  purpos ,  opinion ,,,,,,,,,,,,,,,,,,,,,,,,,,
  realli ,  product ,  test ,  purpos ,  opinion ,,,,,,,,,,,,,,,,,,,,,,,,,,
  test ,  shampoolath ,  greatrins ,  amountso ,  time ,  product ,,,,,,,,,,,,,,,,,,,,,,,,,
  aussi ,  shampoo ,  decid ,  residu ,  lather ,  fun ,  fragrancealbeit ,  way ,  shampoo ,  thick ,  hope ,  happi ,  nowand ,  lot ,  someon ,  aussie ,,,,,,,,,,,,,,,
  work ,  aussom ,  volum ,  shampoo ,  accid ,  visit ,  rel ,  departure ,  sooo ,  lather ,  hair ,  volume ,  i ,  product ,  itonli ,  point ,  time ,  way ,  product ,,,,,,,,,,,,
  im ,  grate ,  conditionerrecommend ,  use ,  type ,  hair ,  blond ,  babi ,  dri ,,,,,,,,,,,,,,,,,,,,,,
  product ,  kind ,  see ,  product ,  thought ,  reason ,  hair ,  water ,  peopl ,  water ,  rest ,  famili ,  hair ,  le ,  healthi ,  look ,  disgust ,  hair ,  continu ,  wash ,  combo ,  fix ,  problem ,  expens ,  water ,  shampoo ,  work ,  water ,  issue ,  shampoo ,  realli 
  load ,  hair ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  time ,  sud ,  hair ,  manageable ,,,,,,,,,,,,,,,,,,,,,,,,,,,
  receiv ,  tri ,  type ,  product ,  tri ,  time ,  littl ,  im ,  realli ,  glad ,  love ,  smell ,  hair ,  smell ,  delici ,  scent ,  volum ,  hair ,  light ,  volume ,  complaint ,  packag ,  tri ,  break ,  time ,  tri ,  product ,  opinion ,,,
  hair ,  aussi ,  voluminizimg ,  shampoo ,  influenst ,  week ,  use ,  week ,  leav ,  hair ,  soft ,  volume ,  iv ,  tri ,  shampoo ,  claim ,  hair ,  volumin ,  girl ,  manag ,  ad ,  curl ,  day ,  aussi ,,,,,,,
  love ,  im ,  pretti ,  product ,  work ,  volume ,  iv ,  product ,  im ,  line ,  product ,  test ,  product ,  influenst ,  definit ,,,,,,,,,,,,,,,,
  hair ,  smell ,  dri ,  love ,  hair ,  feel ,  hair ,  bit ,  use ,  shampoo ,  receiv ,  product ,  influenst ,  voxbox ,  test ,  opinion ,  complet ,,,,,,,,,,,,,,
  receiv ,  test ,  aussi ,  opinion ,,,,,,,,,,,,,,,,,,,,,,,,,,,
  favorit ,  product ,  influenst ,  tri ,  hair ,  manag ,  volum ,  use ,  brand ,  definit ,  aussi ,,,,,,,,,,,,,,,,,,,,
  lot ,  shampoo ,  hair ,  shampoo ,  perfect ,  price ,  awesome ,  use ,  day ,  stock ,  famili ,  use ,,,,,,,,,,,,,,,,,,,
  think ,  fall ,  hair ,  product ,  cut ,,,,,,,,,,,,,,,,,,,,,,,,,,
  shampoo ,  batch ,  there ,  EX ,  product ,  week ,  becom ,  wateri ,  mess ,,,,,,,,,,,,,,,,,,,,,,
  hi ,  hair ,  life ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  use ,  line ,  use ,  sinc ,  school ,  smell ,  concern ,  chang ,  suav ,  sleek ,,,,,,,,,,,,,,,,,,,,,
  excit ,  love ,  shine ,  shampoo ,  condition ,  time ,  smell ,  put ,  hair ,  super ,  smell ,  thought ,  mayb ,  batch ,  bottl ,  iv ,  disappoint ,,,,,,,,,,,,,,
  shampoo ,  purchas ,  specif ,  formula ,  suav ,  sinc ,  alway ,  problem ,  frizz ,  hair ,  time ,  waxi ,  hair ,  dull ,  chang ,  amount ,  condition ,  hair ,  love ,  scent ,  way ,,,,,,,,,,
  use ,  smell ,  conditioner ,  condition ,  tire ,  cleaner ,  friend ,  smell ,  plastic ,  wrap ,  hair ,,,,,,,,,,,,,,,,,,,,
  product ,  product ,  coupl ,  year ,  realli ,  way ,  way ,  hair ,  month ,  time ,  day ,  becam ,  dri ,  itchi ,  scrape ,  scalp ,  caus ,  sore ,  head ,  hairbrush ,  everi ,  week ,  hair ,  becom ,  allerg ,  condition ,  boyfriend ,  becam ,  dri ,  sever ,  itchy 
  profession ,  product ,  hair ,  use ,  scalp ,  look ,  root ,  hair ,  product ,  burn ,  stop ,  use ,  product ,  head ,  shoulder ,  scalp ,  heal ,  sinc ,  move ,  product ,,,,,,,,,,,
  daughter ,  condition ,  dri ,  frizzi ,  condition ,  iv ,  afford ,  everyon ,  smell ,  creepy ,  day ,  someth ,  color ,  smell ,  work ,  someon ,  prank ,  search ,  ingredi ,  compar ,  respons ,  plea ,  chang ,  condition ,  work ,  chang ,  posit ,  someth ,  formula ,,
  shampoo ,  product ,  dri ,  hair ,  mat ,  day ,  oil ,  treatment ,  girl ,  softer ,  hair ,  end ,  condition ,  rins ,  look ,  info ,  help ,  money ,  get ,  home ,  product ,  u ,,,,,,,,,
  way ,  conditioner ,  daughter ,  hair ,  dump ,  fill ,  water ,  highli ,  dissatisfi ,  product ,,,,,,,,,,,,,,,,,,,,,
  suav ,  hair ,  blow ,  drie ,  waxi ,  half ,  day ,  use ,  condition ,  result ,  use ,  shampoo ,  wast ,  buy ,  conditioner ,,,,,,,,,,,,,,,,
  condition ,  sleek ,  shampoo ,  month ,  diddnt ,  way ,  shampoo ,  hair ,  feel ,  waxi ,  feel ,  condition ,  thick ,  work ,  decentlyi ,  shampoo ,,,,,,,,,,,,,,,
  wife ,  hair ,  smoother ,  le ,  anyth ,  opposite ,,,,,,,,,,,,,,,,,,,,,,,,,
  use ,  use ,  profession ,  shampoo ,  condition ,  year ,  work ,  consid ,  valu ,  avail ,  shampoo ,  conditioner ,  product ,  matrix ,  caus ,  scalp ,  break ,  sever ,  realiz ,  shampoo ,  help ,  stumbl ,  comment ,  research ,  tri ,  caus ,  problem ,  matrix ,  caus ,  problem ,  immedi 
  realli ,  product ,  year ,  feel ,  product ,  iv ,  smell ,  scent ,  bit ,  hair ,  product ,,,,,,,,,,,,,,,,,,,,
  hair ,  line ,  especi ,  store ,  shampoo ,  help ,  hair ,  condition ,  lot ,  movement ,  use ,  line ,  especi ,  light ,  glaze ,  flatironing ,,,,,,,,,,,,,,,
