48,"['realli', 'like', 'shampoo', 'smell', 'great', 'ad', 'littl', 'bit', 'extra', 'volum', 'hair', 'there', 'one', 'problem', 'shampoo', 'bottl', 'hard', 'open', 'disclaimer', 'receiv', 'product', 'free', 'aussi', 'voxbox', 'influenster', 'opinion', 'own']"
49,"['shampoo', 'feel', 'lather', 'hair', 'realli', 'foam', 'littl', 'goe', 'long', 'way', 'hair', 'feel', 'clean', 'right', 'use', 'it', 'fruiti', 'smell', 'closest', 'compar', 'skittle', 'thing', 'precept', 'give', 'volum', 'look', 'expecting', 'use', 'aussi', 'product', 'one', 'particular', 'tri', 'product', 'free', 'opinion', 'own']"
50,"['product', 'great', 'clean', 'add', 'volum', 'hair', 'without', 'weigh', 'down']"
51,['enjoy']
52,"['fragranc', 'lavend', 'smell', 'like', 'ingredi', 'say', 'thank']"
53,"['husband', 'two', 'year', 'old', 'daughter', 'use', 'shampoo', 'condition', 'complaint', 'left', 'hair', 'feel', 'soft', 'clean', 'test', 'aussi', 'free', 'opinion', 'own']"
54,"['love', 'shampoo', 'lather', 'smell', 'great', 'perfect', 'limp', 'flat', 'hair', 'realli', 'help', 'boost', 'volum', 'use', 'more', 'thank', 'aussie']"
55,"['realli', 'like', 'shampoo', 'smell', 'great', 'seem', 'realli', 'work', 'hair', 'look', 'moistur', 'you']"
56,"['lather', 'well', 'smell', 'great', 'clean', 'thoroughly', 'inexpensive', 'remov', 'buildup', 'highli', 'recommend', 'think', 'clarifi', 'shampoo', 'love', 'noth', 'make', 'hair', 'meaner', 'leftov', 'style', 'product', 'also', 'think', 'quit', 'frankly', 'littl', 'kangaroo', 'bottl', 'adorable', 'use', 'shampoo', 'endors', 'marsupial', 'cheer']"
57,"['take', 'one', 'star', 'bottl', 'design', '135oz', 'bottle', 'though', 'unique', 'cap', 'tight', 'super', 'hard', 'open', 'thought', 'me', 'upon', 'ask', 'friend', 'famili', 'also', 'use', 'product', 'they', 'too', 'agre', 'cap', 'tight', 'difficult', 'open', 'especi', 'nail', 'super', 'careful', 'alreadi', 'broken', 'two', 'nail', 'open', 'product', 'shame', 'product', 'wonder', 'smell', 'great', 'work', 'great', 'deliv', 'perfect', 'oomph', 'volum', 'hair', 'leav', 'wonder', 'lightli', 'scented', 'decent', 'price', 'overal', 'great', 'product', 'end', 'simpli', 'pri', 'cap', 'open', 'go', 'use', 'shampooconditioner', 'pour', 'empti', 'bottl', 'anoth', 'shampoo', 'brand', 'would', 'love', 'new', 'cap', 'designtechnolog', 'look', 'smoother', 'easier', 'opening']"
58,"['love', 'shampoo', 'much', 'leav', 'hair', 'feel', 'extra', 'soft', 'lightweight', 'see', 'differ', 'volum', 'hair', 'use', 'that', 'gave', 'product', 'otherwise', 'absolut', 'love', 'product', 'much', 'repurchase', 'i', 'receiv', 'product', 'via', 'influenst', 'tri', 'free', 'review']"
59,"['use', 'product', 'along', 'aussom', 'volum', 'condition', 'hairspray', 'past', 'week', 'love', 'it', 'gotten', 'mani', 'compliment', 'shine', 'volum', 'hair', 'sinc', 'use', 'product', 'great', 'price', 'great', 'set', 'use', 'volum', 'shine', 'look', 'for', 'definit', 'purchas', 'product', 'future', 'receiv', 'product', 'free', 'test', 'opinion', 'own']"
60,"['huge', 'fan', 'shampoo', 'love', 'scent', 'leav', 'hair', 'feel', 'clean', 'pair', 'condition', 'hair', 'feel', 'alive', 'highli', 'recommend', 'product', 'select', 'test', 'aussi', 'free', 'opinion', 'own']"
61,"['wife', 'use', 'aussi', 'year', 'first', 'attempt', 'type', 'like', 'much', 'claim', 'add', 'shine', 'fullness']"
62,"['receiv', 'product', 'free', 'review', 'alway', 'state', 'true', 'honest', 'opinion', 'shampoo', 'great', 'me', 'smell', 'delicious', 'dri', 'hair', 'leav', 'knotti', 'like', 'shampoo', 'shower', 'hair', 'absolut', 'feel', 'nice', 'littl', 'volume']"
63,"['love', 'smell', 'aussi', 'shampoo', 'get', 'hair', 'clean', 'without', 'dri', 'out', 'love', 'soft', 'hair', 'feel', 'use', 'this', 'fine', 'hair', 'notic', 'bit', 'volum', 'use', 'shampoo', 'receiv', 'aussi', 'product', 'free', 'influenst', 'voxbox', 'test', 'purpose', 'opinion', 'complet', 'own']"
64,"['use', 'shampoo', 'everi', 'day', 'shower', 'smell', 'nice', 'shampoo', 'foam', 'great', 'use', 'aussom', 'volum', 'condition', 'well', 'wake', 'great', 'volum', 'hair', 'even', 'friend', 'comment', 'much', 'bodi', 'had', 'test', 'aussi', 'free', 'opinion', 'own']"
65,"['impress', 'clean', 'feel', 'shampoo', 'gave', 'hair', 'use', 'it', 'nice', 'scent', 'combin', 'awesom', 'volum', 'condition', 'which', 'did', 'leav', 'hair', 'tremend', 'amount', 'bodi', 'shine', 'receiv', 'product', 'free', 'opinion', 'own']"
66,"['love', 'smell', 'shampoo', 'plu', 'hair', 'feel', 'soft', 'side', 'start', 'use', 'it', 'use', 'product', 'volum', 'collect', 'tell', 'difference', 'receiv', 'aussi', 'product', 'free', 'influenst', 'voxbox', 'test', 'purpose', 'opinion', 'complet', 'own']"
67,"['plea', 'product', 'pair', 'aussi', 'volum', 'conditioner', 'fine', 'straight', 'hair', 'definit', 'help', 'achiev', 'volum', 'scrunch', 'hair', 'would', 'recommend', 'tri', 'aussi', 'free', 'opinion', 'own']"
68,"['love', 'big', 'bouncy', 'full', 'volum', 'hair', 'especi', 'curl', 'it', 'favorit', 'qualiti', 'shampoo', 'leav', 'hair', 'feel', 'heavi', 'weigh', 'down', 'also', 'smell', 'good', 'definit', 'go', 'shampoo', 'now']"
69,"['huge', 'fan', 'shampoo', 'love', 'scent', 'leav', 'hair', 'feel', 'clean', 'pair', 'condition', 'hair', 'feel', 'alive', 'highli', 'recommend', 'product', 'select', 'test', 'aussi', 'free', 'opinion', 'own']"
70,"['mom', 'tini', 'hurrican', 'toddler', 'wash', 'hair', 'come', 'lucki', 'enough', 'twice', 'week', 'old', 'shampoo', 'point', 'left', 'hair', 'feel', 'greasi', 'good', 'tri', 'aussi', 'volum', 'shampoo', 'smell', 'amaz', 'made', 'hair', 'feel', 'gross', 'bottl', 'littl', 'hard', 'open', 'im', 'okay', 'that', 'el', 'tini', 'human', 'pour', 'everywhere', 'notic', 'volum', 'iv', 'left', 'hair', 'extra', 'oomph', 'mom', 'bun', 'receiv', 'product', 'free', 'opinion', 'own', 'brand', 'replac', 'old', 'go', 'to']"
71,"['want', 'start', 'say', 'reciev', 'aussi', 'volum', 'shampoo', 'free', 'review', 'honest', 'feedback', 'realli', 'love', 'amaz', 'clean', 'smell', 'shampoo', 'ha', 'alway', 'huge', 'fan', 'aussi', 'product', 'reason', 'also', 'qualiti', 'great', 'result', 'get', 'using', 'reciev', 'volum', 'shampoo', 'realli', 'work', 'like', 'doesnt', 'leav', 'hair', 'greasi', 'lifeless', 'like', 'hair', 'brand', 'give', 'extra', 'boost', 'volum', 'need', 'would', 'recommend', 'anyon', 'look', 'extra', 'volum', 'smell', 'good', 'hair', 'day', 'long']"
72,"['bought', 'shampoo', 'yesterday', 'tri', 'first', 'time', 'like', 'scent', 'love', 'hair', 'look', 'notic', 'fuller', 'lift', 'crown', 'much', 'volum', 'expens', 'shampoo', 'happi', 'found', 'it', 'highlight', 'lowlight', 'hair', 'make', 'nice', 'full', 'coarse', 'thank', 'great', 'product']"
73,"['receiv', 'aussi', 'voluminizimg', 'shampoo', 'influenst', 'past', 'week', 'use', 'shampoo', 'week', 'must', 'say', 'love', 'soft', 'leav', 'hair', 'love', 'soft', 'also', 'love', 'full', 'volume', 'iv', 'tri', 'high', 'shampoo', 'claim', 'hair', 'volumin', 'say', 'aussi', 'far', 'favorit', 'girl', 'want', 'soft', 'manag', 'hair', 'shampoo', 'given', 'iv', 'ad', 'curl', 'stay', 'day', 'thank', 'much', 'aussi']"
74,"['receiv', 'aussi', 'product', 'free', 'influenst', 'tri', 'say', 'really', 'realli', 'like', 'them', 'smell', 'great', 'hair', 'smooth', 'manag', 'volum', 'use', 'regular', 'brand', 'definit', 'buy', 'aussi', 'on']"
75,"['thin', 'fine', 'hair', 'im', 'grow', 'usual', 'pretti', 'flat', 'get', 'weigh', 'easily', 'first', 'product', 'actual', 'work', 'give', 'volume', 'iv', 'tri', 'ton', 'product', 'im', 'impress', 'line', 'also', 'smell', 'great', 'receiv', 'product', 'test', 'product', 'influenst', 'definit', 'buy', 'future']"
76,"['use', 'lot', 'shampoo', 'kind', 'need', 'lot', 'abl', 'work', 'lather', 'realli', 'easi', 'smell', 'absolut', 'amazing', 'rins', 'use', 'aussi', 'volum', 'conditioner', 'dri', 'hair', 'upsid', 'volum', 'amazing', 'recommend', 'friend', 'famili', 'already', 'receiv', 'free', 'opinion', 'honest', 'own']"
77,"['shampoo', 'work', 'advertised', 'leav', 'hair', 'clean', 'soft', 'much', 'extra', 'volum', 'volum', 'shampoo', 'iv', 'tried']"
78,"['shampoo', 'use', 'husband', 'want', 'good', 'shampoo', 'realli', 'clean', 'hair', 'well', 'realli', 'awesome', 'smell', 'great', 'condition', 'keep', 'hair', 'look', 'feel', 'right']"
79,"['leav', 'hair', 'soft', 'smell', 'nice']"
80,"['previou', 'shampoo', 'left', 'hair', 'greasy', 'product', 'great', 'leav', 'greasy']"
81,"['favorit', 'shampoo', 'fine', 'hair', 'shampoo', 'perfect', 'smell', 'good', 'price', 'awesome', 'use', 'everi', 'day', 'stock', 'whole', 'famili', 'use', 'it']"
82,"['great', 'product']"
83,"['love', 'product']"
84,"['love', 'wife', 'like', 'much', 'recommend', 'perfect']"
85,"['product', 'use', 'hair', 'awesom']"
86,"['great', 'product']"
87,"['reciev', 'product', 'tester', 'tri', 'out', 'shampoo', 'condit', 'hair', 'product', 'made', 'good', 'difference', 'hair', 'long', 'curli', 'made', 'hair', 'feel', 'soft', 'smell', 'good']"
88,"['product', 'realli', 'surpris', 'me', 'lift', 'natur', 'curli', 'hair', 'scalp', 'make', 'curl', 'look', 'big', 'defin', 'time', 'would', 'definit', 'recommend', 'friend']"
89,"['love', 'cant', 'get', 'enough', 'hair', 'realli', 'long', 'go', 'thru', 'like', 'water', 'continu', 'repurchase', 'leav', 'hair', 'oili', 'dry', 'hard', 'find', 'good', 'shampoo']"
90,"['shampoo', 'weigh', 'hair', 'make', 'feel', 'icky', 'scent', 'bonu', 'ensur', 'would', 'use', 'again', 'receiv', 'aussi', 'free', 'opinion', 'own']"
91,"['tri', 'product', 'aussi', 'never', 'shampoo', 'use', 'everi', 'day', 'wash', 'ny', 'hair', 'love', 'smell', 'doesnt', 'give', 'ne', 'dandruff', 'alergi', 'control', 'frizz', 'perfectly', 'love']"
92,"['absolut', 'love', 'hair', 'alway', 'look', 'feel', 'great', 'used', 'test', 'aussi', 'free', 'opinion', 'own']"
93,"['enjoy', 'use', 'product', 'smell', 'good', 'light', 'weight', 'tell', 'much', 'difference', 'still', 'great', 'shampoo']"
94,"['shampoo', 'leav', 'hair', 'dri', 'flat', 'shampoo', 'work', 'great', 'love', 'hair', 'much', 'volum', 'smell', 'great', 'receiv', 'shampoo', 'free', 'honest', 'review']"
95,"['product', 'amazing', 'work', 'amsingli', 'nd', 'smell', 'great', 'also', 'definit', 'recommend', 'product', 'everi', 'body', 'give', 'great', 'volume']"
96,"['like', 'feel', 'hair', 'shampoo']"
97,"['love', 'shampoo', 'smell', 'great', 'clean', 'thoroughly', 'highli', 'recommend', 'receiv', 'product', 'test', 'purpos', 'free', 'opinion', 'own']"
98,"['love', 'shampoo', 'smell', 'great', 'clean', 'thoroughly', 'highli', 'recommend', 'receiv', 'product', 'test', 'purpos', 'free', 'opinion']"
99,"['realli', 'like', 'shampoolath', 'greatrins', 'clean', 'take', 'small', 'amountso', 'last', 'long', 'time', 'good', 'product']"
100,"['im', 'alway', 'test', 'shampoo', 'decid', 'want', 'basic', 'thorough', 'cleansing', 'that', 'got', 'gunk', 'residu', 'good', 'lather', 'fun', 'fragrancealbeit', 'fruiti', 'unidentifi', 'way', 'textur', 'shampoo', 'great', 'thick', 'without', 'creamy', 'hope', 'keep', 'going', 'im', 'happi', 'right', 'nowand', 'that', 'say', 'lot', 'someon', 'picki', 'me', 'thank', 'aussie']"
101,"['first', 'tri', 'aussi', 'aussom', 'volum', 'shampoo', 'accid', 'left', 'shower', 'visit', 'rel', 'upon', 'departure', 'sooo', 'rich', 'make', 'love', 'full', 'lather', 'and', 'swear', 'leav', 'hair', 'volume', 'i', 'ran', 'tri', 'anoth', 'product', 'could', 'compet', 'itonli', 'could', 'get', 'store', 'carri', 'point', 'time', 'but', 'never', 'again', 'way', 'stick', 'great', 'product']"
102,"['work', 'grate', 'even', 'use', 'conditionerrecommend', 'use', 'type', 'hair', 'high', 'med', 'blond', 'babi', 'think', 'dri', 'med']"
103,"['im', 'kind', 'sad', 'see', 'poor', 'review', 'product', 'thought', 'id', 'write', 'own', 'reason', 'hair', 'hate', 'hard', 'water', 'peopl', 'we', 'hard', 'well', 'water', 'although', 'rest', 'famili', 'notic', 'hair', 'littl', 'le', 'healthi', 'looking', 'mine', 'look', 'felt', 'disgust', 'could', 'get', 'miner', 'hair', 'continu', 'wash', 'made', 'worse', 'shampoocondition', 'combo', 'fix', 'problem', 'even', 'tri', 'expens', 'hard', 'water', 'shampoo', 'work', 'nearli', 'well', 'even', 'hard', 'water', 'issue', 'shampoo', 'realli', 'made', 'hair', 'feel', 'lighter', 'way', 'voluminous', 'everyone', 'hair', 'different', 'definit', 'recommend', 'least', 'give', 'one', 'try']"
104,"['fast', 'ship', 'excel', 'product', 'hair']"
105,"['load', 'sud', 'leav', 'hair', 'soft', 'manageable']"
106,"['fist', 'time', 'tri', 'type', 'aussi', 'product', 'want', 'tri', 'long', 'time', 'littl', 'hesitant', 'im', 'realli', 'glad', 'given', 'opportun', 'tri', 'it', 'first', 'all', 'smell', 'good', 'love', 'smell', 'hair', 'shampoo', 'good', 'smell', 'delici', 'scent', 'also', 'like', 'volum', 'gave', 'hair', 'want', 'light', 'volume', 'job', 'small', 'complaint', 'packag', 'top', 'hard', 'open', 'tri', 'keep', 'break', 'nail', 'everi', 'time', 'tri', 'open', 'it', 'like', 'it', 'test', 'aussi', 'product', 'free', 'opinion', 'own']"
107,"['receiv', 'aussi', 'voluminizimg', 'shampoo', 'influenst', 'past', 'week', 'use', 'shampoo', 'week', 'must', 'say', 'love', 'soft', 'leav', 'hair', 'love', 'soft', 'also', 'love', 'full', 'volume', 'iv', 'tri', 'high', 'shampoo', 'claim', 'hair', 'volumin', 'say', 'aussi', 'far', 'favorit', 'girl', 'want', 'soft', 'manag', 'hair', 'shampoo', 'given', 'iv', 'ad', 'curl', 'stay', 'day', 'thank', 'much', 'aussi']"
108,"['thin', 'fine', 'hair', 'im', 'grow', 'usual', 'pretti', 'flat', 'get', 'weigh', 'easily', 'first', 'product', 'actual', 'work', 'give', 'volume', 'iv', 'tri', 'ton', 'product', 'im', 'impress', 'line', 'also', 'smell', 'great', 'receiv', 'product', 'test', 'product', 'influenst', 'definit', 'buy', 'future']"
109,"['love', 'smell', 'aussi', 'shampoo', 'get', 'hair', 'clean', 'without', 'dri', 'out', 'love', 'soft', 'hair', 'feel', 'use', 'this', 'fine', 'hair', 'notic', 'bit', 'volum', 'use', 'shampoo', 'receiv', 'aussi', 'product', 'free', 'influenst', 'voxbox', 'test', 'purpose', 'opinion', 'complet', 'own']"
